make,model,model_year,model_age,drive,barrels08,city_mpg,hwy_mpg,combined_mpg,co2TailpipeGpm,cylinders,engine_displ,drive_type,fuelCost08,fuelType1
Saab,9-3 Sport Sedan,2008,10,Front-Wheel Drive,14.330869565,19,29,23,386.39130435,4,2,Front-Wheel Drive,2050,Premium Gasoline
Saab,9-3 Sport Sedan,2008,10,Front-Wheel Drive,17.347894737,16,26,19,467.73684211,6,2.8,Front-Wheel Drive,2450,Premium Gasoline
Saab,9-3 Sport Sedan,2008,10,Front-Wheel Drive,18.311666667,15,24,18,493.72222222,6,2.8,Front-Wheel Drive,2600,Premium Gasoline
Bentley,Continental Flying,2008,10,4-Wheel or All-Wheel Drive,27.4675,10,17,12,740.58333333,12,6,4-Wheel or All-Wheel Drive,3900,Premium Gasoline
BMW,535i,2008,10,Rear-Wheel Drive,16.4805,17,26,20,444.35,6,3,Rear-Wheel Drive,2350,Premium Gasoline
BMW,535xi,2008,10,4-Wheel or All-Wheel Drive,17.347894737,16,25,19,467.73684211,6,3,4-Wheel or All-Wheel Drive,2450,Premium Gasoline
Cadillac,CTS,2008,10,Rear-Wheel Drive,17.347894737,16,25,19,467.73684211,6,3.6,Rear-Wheel Drive,2050,Regular Gasoline
Cadillac,CTS,2008,10,Rear-Wheel Drive,17.347894737,16,25,19,467.73684211,6,3.6,Rear-Wheel Drive,2050,Regular Gasoline
Cadillac,CTS,2008,10,Rear-Wheel Drive,15.695714286,18,26,21,423.19047619,6,3.6,Rear-Wheel Drive,1850,Regular Gasoline
Cadillac,CTS AWD,2008,10,4-Wheel or All-Wheel Drive,16.4805,17,26,20,444.35,6,3.6,4-Wheel or All-Wheel Drive,1950,Regular Gasoline
Chrysler,Sebring,2008,10,Front-Wheel Drive,14.982272727,19,27,22,403.95454545,6,2.7,Front-Wheel Drive,1750,Regular Gasoline
Dodge,Avenger,2008,10,Front-Wheel Drive,14.982272727,19,27,22,403.95454545,6,2.7,Front-Wheel Drive,1750,Regular Gasoline
Ferrari,612 Scaglietti,2008,10,Rear-Wheel Drive,29.964545455,9,16,11,807.90909091,12,5.7,Rear-Wheel Drive,4250,Premium Gasoline
Ferrari,612 Scaglietti,2008,10,Rear-Wheel Drive,27.4675,10,15,12,740.58333333,12,5.7,Rear-Wheel Drive,3900,Premium Gasoline
Hyundai,Elantra,2008,10,Front-Wheel Drive,11.771785714,25,33,28,317.39285714,4,2,Front-Wheel Drive,1400,Regular Gasoline
Hyundai,Elantra,2008,10,Front-Wheel Drive,12.207777778,24,33,27,329.14814815,4,2,Front-Wheel Drive,1450,Regular Gasoline
Infiniti,G35,2008,10,Rear-Wheel Drive,16.4805,17,25,20,444.35,6,3.5,Rear-Wheel Drive,2350,Premium Gasoline
Infiniti,G35,2008,10,Rear-Wheel Drive,16.4805,17,24,20,444.35,6,3.5,Rear-Wheel Drive,2350,Premium Gasoline
Infiniti,G35x,2008,10,4-Wheel or All-Wheel Drive,17.347894737,17,23,19,467.73684211,6,3.5,4-Wheel or All-Wheel Drive,2450,Premium Gasoline
Kia,Optima,2008,10,Front-Wheel Drive,13.1844,21,31,25,355.48,4,2.4,Front-Wheel Drive,1550,Regular Gasoline
Kia,Optima,2008,10,Front-Wheel Drive,13.1844,21,31,25,355.48,4,2.4,Front-Wheel Drive,1550,Regular Gasoline
Kia,Optima,2008,10,Front-Wheel Drive,14.330869565,20,28,23,386.39130435,6,2.7,Front-Wheel Drive,1700,Regular Gasoline
